anglais,chinois
gongfu tea,功夫茶
gorse,荆豆
gothic,哥特式
gothic architecture,哥特式建筑
gothic choir,哥特式唱诗堂
gothic church,哥特式教堂
gothic door,哥特式门
gothic style,哥特风格
gourmet,美食
gradient,渐变
gradient sky,渐变天空
graffiti,涂鸦
graffiti art,涂鸦艺术
grain,颗粒感
grand building,宏伟建筑
grand facade,宏伟立面
grand hall,大厅
grande-île,大岛
grandpa,爷爷
granite,花岗岩
granite boulder,花岗岩巨石
granite boulders,花岗岩巨石
granite rock,花岗岩
granite rocks,花岗岩礁石
granite tower,花岗岩塔
granville,格朗维尔
grapes,葡萄
grapevine,葡萄藤
grapevines,葡萄藤
grass,草地
grass blade,草叶
grass verge,草地路边
grassy bank,草岸
grassy heath,草地荒原
grassy hill,长草的山丘
grassy paths,草径
grassy slope,草坡
gravel,碎石
gravel path,碎石小径
gray sky,灰色天空
greatcoat,大衣
green,绿色
green algae,绿藻
green and white,绿白色
green background,绿色背景
green bokeh,绿色虚化
green canopy,绿色树冠
green door,绿色门
green eyes,绿色眼睛
green field,绿色田野
green fields,绿色田野
green foliage,绿色枝叶
green grapes,青葡萄
green grass,青草
green hills,绿色山丘
green lantern,绿色灯室
green leaves,绿叶
green maze,绿色迷宫
green railings,绿色栏杆
green tea,绿茶
green tree,绿树
green trees,绿树
green venice,绿色威尼斯
green water,绿水
greenery,绿植
greenhouse,温室
grey,灰色
grey curtains,灰色窗帘
grey fabric,灰色布料
grey green,灰绿色
grey plate,灰色盘子
grey sky,灰色天空
grey water,灰色海水
grid,网格
grilled meat,烤肉
grisaille glass,灰色调玻璃窗
gritty,粗糙
groove,凹槽
grotto,石窟
ground,地面
ground cover,地被植物
group,群体
group of people,一群人
grove,树丛
growth,生长
grunge,做旧风
grup yorum,Grup Yorum乐队
guano,鸟粪
guirlandes,花环
gully,沟壑
gun carriage,炮架
géométrie,几何
habitation,住宅
habitations,住宅
hachette,斧头
hairs,毛发
hairy fly,多毛苍蝇
halles,中央市场
halloween,万圣节
hallway,走廊
halo,光环
haloween,万圣节
ham,火腿
ham and cheese sandwich,火腿奶酪三明治
hand,手
hand stroking,抚摸的手
handmade,手工制作
handrail,扶手
handsome,帅气
hanging lantern,吊灯
happiness,幸福
happy,开心
harddrink,烈酒
hare's-tail grass,兔尾草
harmony,和谐
harp,竖琴
harvest,收获
hat,帽子
hatching,孵化
haussmann architecture,奥斯曼建筑
hay,干草
hay bales,干草捆
haze,薄雾
hazy,朦胧
hazy light,朦胧光线
hazy peaks,朦胧山峰
hd,高清
hdr,HDR
head,头部
headscarves,头巾
headsho,头像照
headshot,头像照
hearty meal,丰盛餐食
heat,炎热
heathland,石南荒地
hedge,树篱
hedge bindweed,篱天剑
hedgehog,刺猬
hedges,树篱
helicopter,直升机
hello,你好
helmet,头盔
helmets,头盔
hen,母鸡
hera,赫拉
herb garden,香草园
heritage,遗产
heritage architecture,遗产建筑
heritage building,历史建筑
heritage landmark,历史地标
heritage site,遗产地
herring gull,银鸥
heure,时间
hexagons,六边形
hibiscus syriacus,木槿
hidden,隐藏
hiding,躲藏
high angle view,俯视视角
high contrast,高对比度
high key,高调摄影
hikers,徒步者
hiking,徒步
hiking trail,徒步小径
hills,山丘
hillside,山坡
hillside view,山坡景色
hilltop,山顶
historic,历史
historic architecture,历史建筑
historic archway,历史拱门
historic building,历史建筑
historic house,历史房屋
historic interior,历史室内
historic monument,历史古迹
historic site,历史遗址
historic village,历史村庄
historical architecture,历史建筑
historical monument,历史古迹
history,历史
hobby,爱好
holiday,节日
holiday lights,节日灯饰
holiday season,节日季
holly,冬青
holly berries,冬青果
holy,神圣
home,家
home cooking,家常菜
home decor,家居装饰
home interior,家居室内
home library,家庭图书室
home showcase interior,家居展示
homemade,自制
homemade pizza,自制披萨
homme de dos,背影男子
honeycomb,蜂巢
hooded jacket,连帽外套
hoodie,连帽衫
hook,挂钩
hooks,挂钩
horizon,地平线
horizon glow,地平线光辉
horloge,时钟
horology,钟表
horse,马
horse portrait,马的肖像
horse sculpture,马雕塑
hortensia,绣球花
horticulture,园艺
hot lips salvia,热唇鼠尾草
hotel de ville,市政厅
hour,小时
house,房子
house entrance,住宅入口
house sparrow,家麻雀
household,家居
houses,房屋
hue,色调
human,人类
human art,人类艺术
hydrangea,绣球花
i love you,我爱你
ice,冰
ice cube,冰块
ice cube tray,冰格
icebergs,冰山
iced coffee,冰咖啡
iced drink,冰饮
iconic peak,标志性山峰
iconography,图像学
icons,图标
illuminated,灯光照明
illuminated tree,发光的树
illustrative,插画风格
immense,巨大
impact,冲击
imposing,壮观
impressionistic,印象派
impressive,令人印象深刻
indian restaurant,印度餐厅
indiano villa,印第安诺别墅
indoor,室内
industrial,工业
industrial landscape,工业景观
industry,工业
infrared,红外
infrared photography,红外摄影
infrastructure,基础设施
ink,墨水
inner peace,内心平静
inscription,铭文
insect,昆虫
inspiration,灵感
instinct,本能
insurance,保险
intense,强烈
intentional camera movement,刻意运镜
interior,室内
interior design,室内设计
interlaced curves,交织曲线
internet,互联网
intervention,干预
interwoven pattern,交织图案
intimate,私密
invitation,请柬
invitation card,请柬
invitation suite,请柬套装
iphone,iPhone
iridescent,彩虹色光泽
iridescent feathers,虹彩羽毛
iridescent plumage,彩虹色羽毛
iron,铁
iron bridge,铁桥
iron frame,铁架
iron gate,铁门
iron railing,铁栏杆
iron tower,铁塔
irun,伊伦
island,岛屿
island life,海岛生活
islet,小岛
isolated,孤立
isolated place,偏僻之地
isolation,孤独
ivy,常春藤
ivy covered house,爬满常春藤的房子
ivy leaves,常春藤叶
ivy-covered trunks,爬满常春藤的树干
jacket,夹克
jambon beurre,黄油火腿三明治
japan,日本
jaune,黄色
je t'aime,我爱你
jersey,球衣
jesus,耶稣
jet trail,喷气尾迹
jetty,小码头
jeux,游戏
jewel,珠宝
jewellery,珠宝
jewelry,珠宝
journal,日记
journey,旅程
journeys,旅程
joy,喜悦
keystone,拱顶石
kids toy,儿童玩具
kitchen,厨房
kitchen garden,菜园
kitten,小猫
knife,刀
knitwear,针织服装
kodak movie film,柯达电影胶片
la grave dome,格拉夫圆顶
la rotonde,圆亭
laboral ciudad de la cultura,拉沃拉尔文化城
laboral tower,拉沃拉尔塔
lake,湖泊
lakeshore,湖岸
lakeside,湖畔
lamp,灯
lamp post,路灯柱
lamppost,路灯柱
lampposts,路灯柱
landmamrk,地标
landmark,地标
landscape,风景
landscape design,景观设计
landscape garden,风景园林
landscaping,园林景观
lantern,灯笼
lanterne,灯笼
larten,灯笼
late autumn,深秋
late summer,夏末
latte art,拉花
lauburu,巴斯克十字
laughing,大笑
laughing buddha,笑佛
laundry,待洗衣物
laurel wreath,月桂花环
laval,拉瓦尔
lavender color,淡紫色
lawn,草坪
layered rock,层状岩石
layering,层次
layers,层次
lazy morning,慵懒早晨
le loup,狼
le mont-saint-michel,圣米歇尔山
lead came,铅条
lead lines,铅条
lead pattern,铅条图案
leaded window,菱格窗
leaf,叶子
leaf litter,落叶层
leaf undersides,叶背
leafy,多叶
leather,皮革
leather halter,皮笼头
leaves,树叶
lecture,阅读
led,LED
leger,轻盈
leica,徕卡
leisure,休闲
lens flare,镜头光晕
lettering,字体设计
liberty statue,自由女神像
library,图书馆
lichen,地衣
lichen-covered rocks,覆满地衣的岩石
lid,盖子
life,生活
life and death,生死
life jackets,救生衣
lifestyle,生活方式
light,光线
light and shadow,光影
light blue,浅蓝色
light bulb,灯泡
light burst,光爆
light canopy,灯光穹顶
light colors,浅色
light effect,光效
light effects,光效
light green background,浅绿色背景
light leak,漏光
light painting,光绘
light pollution,光污染
light rays,光线
light trail,光轨
light trails,光轨
lighthouse,灯塔
lighthouse keeper house,灯塔看守人小屋
lightleak,漏光
lignes,线条
lily of the valley,铃兰
limestone,石灰岩
limestone buildings,石灰岩建筑
linen,亚麻
lines,线条
lines and curves,线条与曲线
lion statues,狮子雕像
liqueur,利口酒
lit candle,点燃的蜡烛
literature,文学
livestock,家畜
living room,客厅
livre,书
lizard,蜥蜴
lobster pot,捕虾笼
lobster pots,捕虾笼
local festival,地方节日
loire valley,卢瓦尔河谷
london,伦敦
london bus,伦敦巴士
lone house,孤零零的房子
lone person,独行者
lone walker,独行者
long exposure,长曝光
long tail,长尾巴
looking around,环顾四周
looking away,望向别处
looking up,向上看
loquat,枇杷
loquat tree,枇杷树
lot,洛特省
lotus flower,莲花
lotus leaves,荷叶
lotus pond,荷塘
lotus seed pod,莲蓬
lounge,休息室
louvre,卢浮宫
love,爱
love note,情书
lovely pose,可爱的姿势
low angle,低角度
low angle view,低角度视角
low key,低调
low light,弱光
low tide,退潮
luck,幸运
lucky charm,幸运符
lugo,卢戈
lumiere,光
luminaires,灯具
luminary,发光体
luminous,发光的
lunar astronomy,月球天文
lunch,午餐
lunettes,眼镜
lush,郁郁葱葱
lush foliage,茂盛的叶子
lush greenery,茂盛绿植
lush vegetation,茂密植被
m31,仙女座星系
machicolations,堞口
machine,机器
macro,微距
macro detail,微距细节
macro photo,微距照片
macro photography,微距摄影
magenta,洋红色
magic,魔法
magical,神奇的
magpie,喜鹊
mailbox,信箱
main course,主菜
mainsail,主帆
mairie,市政厅
maize,玉米
majestic,壮丽
make pizza,做披萨
male,男性
male pheasant,雄雉
mall,商场
mallard,绿头鸭
man,男人
man from behind,男子背影
man in suit,西装男子
man walking,行走的男子
mane,鬃毛
manicured,修剪整齐的
mankind,人类
mannequin,人体模特
manor house,庄园
mansard roof,孟莎屋顶
mansion,豪宅
manual grinder,手摇磨豆机
manual settings,手动设置
manufacturing,制造业
marais poitevin,普瓦图沼泽
marine birds,海鸟
marine life,海洋生物
maritime,海事
maritime heritage,海事遗产
maritime transport,海上运输
market,市场
market stall,市场摊位
market stalls,市集摊位
marriage,婚姻
marsh,沼泽
marshland,湿地
masonry,砖石结构
massive,巨大的
mauve,淡紫色
may day,五一节
mayenne,马耶讷省
meadow,草甸
meal,一餐
meat,肉
meat dish,肉类菜肴
medieval,中世纪
medieval architecture,中世纪建筑
medieval quarter,中世纪街区
meditation,冥想
megalith,巨石
melancholy,忧郁
memorial,纪念碑
memorial candles,纪念蜡烛
memorial statue,纪念雕像
memory,回忆
memory card,存储卡
men,男人们
mesh,网眼
messe,弥撒
metal,金属
metal bars,金属栏杆
metal chair,金属椅
metal railing,金属护栏
metallic green,金属绿
metaphor,隐喻
metro,地铁
metropolitan,大都市
midday light,正午阳光
militant,激进分子
military,军事
milky way,银河
mimosa tree,银合欢树
mindfulness,正念
mineral,矿物
miniature,微缩模型
miniature figure,迷你人偶
minimalism,极简主义
minimalist,极简
minimalist architecture,极简建筑
minimalist background,极简背景
mint green,薄荷绿
mirror,镜子
mirror effect,镜面效果
mist,薄雾
misty,雾蒙蒙
misty hills,雾中山丘
misty horizon,雾蒙蒙的地平线
mixed salad,混合沙拉
mockup,模型
model ship,船模
modern,现代
modern architecture,现代建筑
modern art,现代艺术
modern building,现代建筑
modern rooftop,现代屋顶
moderne,现代
mollusque,软体动物
monastery style,修道院风格
money,金钱
monochrome,单色
mont-saint-michel,圣米歇尔山
mont-saint-michel abbey,圣米歇尔山修道院
montage,蒙太奇
monument,纪念碑
monument aux girondins,吉伦特党人纪念碑
monumental,宏伟的
mood,氛围
moody,忧郁
moody atmosphere,忧郁氛围
moody landscape,忧郁风景
moody sky,阴郁天空
moon,月亮
moon phase,月相
moonlight,月光
moonrise,月出
moored boat,停泊的小船
moored boats,停泊的船
moored sailboats,停泊的帆船
mooring lines,系泊缆绳
mophead hydrangea,绣球花
moraine,冰碛
morning,早晨
morning glory,牵牛花
morning sky,晨空
mosaic,马赛克
moss,苔藓
mossy rock,长满青苔的岩石
mossy roof,长满苔藓的屋顶
mossy stones,长满苔藓的石头
mossy trees,长苔的树
mother,母亲
motherhood,母性
motion,运动
motion blur,动态模糊
motivating,激励人心的
motivation,动力
motorboats,摩托艇
motorcade,车队
mountain,山
mountain forest,山林
mountain peak,山峰
mountain ridge,山脊
mountain side,山坡
mountain village,山村
mountains,群山
mousse,苔藓
mouvement,运动
movement,运动
movilization,动员
moyemont,莫耶蒙
mozarella,马苏里拉奶酪
mozzarella,马苏里拉奶酪
mud,泥
muddy,泥泞
mug,马克杯
multi colour background,多彩背景
multicolor,多色
multicolored,多彩的
mur,墙
musee,博物馆
museum,博物馆
mushrooms,蘑菇
music,音乐
music album,音乐专辑
musical instrument,乐器
mustache,胡子
muted colors,柔和色调
muted tones,柔和色调
muzzle,炮口
mysterious,神秘
mystery,谜团
mystical,神秘的
nacelle,吊舱
nancy,南锡
nançon river,南松河
nap,小睡
narrow alley,窄巷
narrow passage,狭窄通道
narrow street,狭窄街道
national day,国庆节
national holiday,国庆节
national symbol,国家象征
nativity scene,耶稣诞生场景
natural,自然的
natural arch,天然拱
natural background,自然背景
natural beauty,自然美景
natural frame,自然框景
natural light,自然光
natural monument,自然纪念地
natural pattern,自然图案
natural texture,自然纹理
nature,自然
nature background,自然背景
nature detail,自然细节
nature trail,自然步道
naturecolors,自然色彩
naturel,自然的
naturelle,自然的
nautical,航海
navigation aid,助航设施
necklace,项链
needles,针叶
negative space,负空间
neighborhood,街区
nelumbo nucifera,莲
neon,霓虹
neon colors,霓虹色
new aquitaine,新阿基坦
new life,新生
newspaper,报纸
night,夜晚
night landscape,夜景
night photography,夜间摄影
night scene,夜景
night sky,夜空
night street,夜晚街道
nightscape,夜景
nikon,尼康
niort,尼奥尔
niort cathedral,尼奥尔大教堂
no cars,无车
no neighbors,无邻居
noise,噪点
normandie,诺曼底
normandy,诺曼底
north face,北坡
nosedive,俯冲
nostalgia,怀旧
notebook,笔记本
notre dame,圣母
notre dame church,圣母教堂
nouvelle-aquitaine,新阿基坦大区
novels,小说
nuages,云
nuances,细微差别
number,数字
number 11,数字11
nursery decor,婴儿房装饰
nutshell,坚果壳
oak leaves,橡树叶
obradoiro facade,奥布拉多伊罗立面
observing,观察
ocean,海洋
ocean spray,海浪飞沫
ocean view,海景
ocean waves,海浪
oculus,牛眼窗
official building,官方建筑
oil industry,石油工业
old,古老
old building,老建筑
old buildings,老建筑
old factory,老工厂
old house,老房子
old houses,老房子
old mill,老磨坊
old ruin,废墟
old stone building,古老石砌建筑
old street,老街
old town,老城
old wall,旧墙
olive branch,橄榄枝
olive green,橄榄绿
olive wood board,橄榄木砧板
olivetree,橄榄树
ominious,不祥的
on the go,忙碌中
on the move,在路上
onion confit,洋葱酱
opalite,乳白石
open space,开阔空间
open water,开阔水域
opened,打开的
opening bloom,绽放的花
opinel,欧皮纳折叠刀
opportunity,机会
orange,橙色
orange cat,橙色猫
orange daylilies,橙色萱草
orange glow,橙色光辉
orange horizon,橙色地平线
orange lichen,橙色地衣
orange light,橙光
orange number,橙色数字
orange sky,橙色天空
orchard,果园
organ,管风琴
organic,有机的
organnic,有机的
original,原创
ornament,装饰品
ornamental,装饰性的
ornamental garden,观赏花园
ornamental plant,观赏植物
ornate,华丽的
ornate building,华丽建筑
ornate door,华丽的门
ornate sculpture,华丽雕塑
ornithology,鸟类学
ossau valley,奥索谷
out of focus,失焦
outdoor,户外
outdoor dining,户外用餐
outdoor escalator,户外自动扶梯
outdoor garden,户外花园
outdoor leisure,户外休闲
outdoor portrait,户外人像
outdoor pursuit,户外活动
outdoor staircase,户外楼梯
outdoors,户外
outside,户外
overcast,阴天
overcast sky,阴天天空
overexposed,过曝
overexposed background,过曝背景
overexposure,过曝
overgrown,杂草丛生
overgrown path,杂草丛生的小路
overgrown tracks,杂草丛生的铁轨
overhead view,俯视图
overview,概览
oyster,牡蛎
pack ice,浮冰
paddock,围场
painting,绘画
paix,和平
pale green,淡绿色
palette,调色板
palmtree,棕榈树
pandemic,疫情
panorama,全景
panoramic,全景的
paper,纸
paper craft,纸艺
paperbacks,平装书
paris,巴黎
park,公园
park bench,公园长椅
park path,公园小径
parked car,停放的汽车
parked cars,停放的汽车
parking,停车场
parking sign,停车标志
parlor games,客厅游戏
parque eolico,风电场
parterre,花坛
parti-colored,杂色的
partial eclipse,偏食
party,派对
party mood,派对氛围
passage,通道
passenger ship,客轮
passengers,乘客
passer-by,路人
passers-by,路人
passion,激情
pasta bowl,意面碗
pastel,粉彩
pastel background,粉彩背景
pastel color,粉彩色
pastel colors,粉彩色
pastel sky,粉彩天空
pastel tones,粉彩色调
pastry,糕点
pasture,牧场
path,小路
patina,铜绿
patrimoine,遗产
patriotic,爱国的
patriotism,爱国主义
pattern,图案
pau,波城
pavement,路面
paw,爪子
peace,和平
peaceful,宁静
peacock feathers,孔雀羽毛
peak,山峰
pebbles,卵石
pedestrian,行人
pedestrian passage,人行通道
pedestrian path,人行道
pedestrian street,步行街
pedestrians,行人
peeling paint,剥落的油漆
pelota,回力球
pendant,吊坠
pensive,沉思
people,人物
perched,栖息
perched birds,栖息的鸟
perennial,多年生植物
pergola,藤架
person,人
perspective,透视
pet,宠物
petal,花瓣
petals,花瓣
petting,抚摸
petunia,矮牵牛
petunias,矮牵牛
phenomenon,现象
phlox,福禄考
phone,手机
phone box,电话亭
phone on bed,床上的手机
phone wallpaper,手机壁纸
photographer,摄影师
photographics,摄影图像
photography,摄影
piano,钢琴
piano keys,琴键
pic du midi d'ossau,奥索峰
picket,栅栏
picnic area,野餐区
picturesque,如画的
pigeon,鸽子
pigeon landing,降落的鸽子
pigeons,鸽子
pile of clothes,衣服堆
pilgrim church,朝圣教堂
pilgrim destination,朝圣目的地
pilgrimage,朝圣
pilgrimage route,朝圣之路
pilgrimage sign,朝圣路标
pilgrims,朝圣者
pillar,柱墩
pincone,松果
pine branches,松枝
pine cone weights,松果形吊锤
pine cones,松果
pine tree,松树
pine trees,松树
pink,粉色
pink background,粉色背景
pink blooms,粉色花朵
pink blossoms,粉色花朵
pink clouds,粉色云彩
pink facade,粉色外墙
pink flower,粉色花朵
pink flowers,粉色花朵
pink granite,粉色花岗岩
pink light,粉色灯光
pink lotus,粉色荷花
pink nose,粉色鼻子
pink petals,粉色花瓣
pink roses,粉色玫瑰
pink sky,粉色天空
pink stone,粉色石材
pink wildflowers,粉色野花
pinnacle,尖顶
pinnacles,小尖塔
pistil,雌蕊
pixel art,像素艺术
pizza,披萨
pizza slice,披萨切片
place du marechal leclerc,勒克莱尔元帅广场
place du maréchal-leclerc,勒克莱尔元帅广场
plant,植物
plant detail,植物细节
plant lover,植物爱好者
plant macro,植物微距
planta,植物
plantes grimpantes,攀缘植物
plants,植物
plastic,塑料
plate,盘子
plated dish,摆盘菜肴
plateresque,银匠式风格
plating,摆盘
playback,回放
playful,顽皮的
playfully,嬉戏地
plaza,广场
plaza del obradoiro,奥布拉多伊罗广场
plum tree,李树
plumage,羽毛
plums,李子
plush toy,毛绒玩具
poesie,诗歌
poetic,诗意的
poetry,诗歌
poilu,一战法国士兵
point of light,光点
pointed arch windows,尖拱窗
poitiers,普瓦捷
poitiers city hall,普瓦捷市政厅
poitou,普瓦图
polar expedition,极地探险
political books,政治书籍
politics,政治
pollarded trees,截干树
pollen,花粉
pollinator,传粉昆虫
pomme,苹果
pond,池塘
pont saint-pierre,圣皮埃尔桥
pooky,萌宠
pop,流行
poplar trees,杨树
porcelain,瓷器
porcelain cup,瓷杯
porch light,门廊灯
pork chop,猪排
port,港口
portal,门户
portrait,肖像
portrait photography,肖像摄影
portraiture,肖像艺术
positive,积极的
postcard,明信片
potager,菜园
poultry,家禽
pour over,手冲咖啡
pouring tea,倒茶
power lines,电线
power pole,电线杆
powerful light,强光
poétique,诗意的
prayer beads,念珠
prehistoric,史前的
presentation,演示
pride,骄傲
priere,祈祷
printer,打印机
printing house,印刷厂
prison,监狱
product of morocco,摩洛哥产品
product shot,产品照
production,生产
profile,侧影
profile view,侧面视图
promenade,海滨步道
propeller,螺旋桨
propeller blades,螺旋桨叶片
prosperity,繁荣
protest sign,抗议标语
protester,抗议者
protestors,抗议者
prêtre,神父
public art,公共艺术
public garden,公共花园
public square,公共广场
public transport,公共交通
pulley,滑轮
pumpkin,南瓜
pup,小狗
pupil,瞳孔
purple,紫色
purple flowers,紫色花朵
purple gem,紫色宝石
purple loosestrife,千屈菜
purple sky,紫色天空
purple wildflowers,紫色野花
pyramid,金字塔
pyrenees,比利牛斯山
pyrenees atlantiques,比利牛斯-大西洋省
pyrotechnics,烟火
pâté,肉酱
quay,码头
queen anne's lace,安妮女王的蕾丝花
quiet,安静
quiet street,安静的街道
quilt,被子
rabbit,兔子
rail transport,铁路运输
rail yard,铁路货场
railing,栏杆
railway bridge,铁路桥
railway line,铁路线
railway platform,站台
railway station,火车站
railway tracks,铁轨
rain,雨
rain jacket,雨衣
rain water,雨水
rainbow,彩虹
rainbow background,彩虹背景
rake,耙子
ramp,坡道
ramparts,城墙
rare event,罕见事件
rattan ball,藤球
ray of light,光线
ray of sunshine,阳光
rays of light,光芒
reading,阅读
reading nook,阅读角
reading room,阅览室
rear view,后视
rebel,反叛者
rectangles,矩形
recycling,回收利用
recycling bins,回收箱
red,红色
red and white,红白色
red and white facade,红白外墙
red and white flowers,红白相间的花
red bauble,红色圣诞球
red border,红色边框
red bricks,红砖
red bus,红色巴士
red eyes,红眼睛
red fabric,红色织物
red fence,红色栅栏
red flag,红旗
red flare,红色闪光
red flowers,红花
red leaves,红叶
red lettuce,红叶生菜
red light,红光
red lights,红灯
red ribbon,红丝带
red rose,红玫瑰
red roses,红玫瑰
red sky,红色天空
red strip,红色条纹
red strips,红色条纹
red tablecloth,红色桌布
red tile roof,红瓦屋顶
red tile roofs,红瓦屋顶
red tinsel,红色金属丝彩带
red valerian,红缬草
red wattle,红色肉垂
red window frames,红色窗框
reeds,芦苇
refinery,炼油厂
reflection,倒影
reflections,倒影
reflexion,倒影
refreshment,清凉
reindeer ornament,驯鹿挂饰
relationship,关系
relaxation,放松
relaxed,放松的
relaxed mood,放松氛围
relief,浮雕
religion,宗教
religious architecture,宗教建筑
religious art,宗教艺术
religious belief,宗教信仰
religious landmark,宗教地标
religious painting,宗教画
religious sculpture,宗教雕塑
religious statue,宗教雕像
remains,遗迹
remembrance,纪念
remote island,偏远岛屿
renewable energy,可再生能源
repeating pattern,重复图案
repetition,重复
repetitive pattern,重复图案
reptile,爬行动物
republic,共和国
rer b,RER B线
reredos,祭坛屏
residential,住宅
residential architecture,住宅建筑
residential street,住宅街道
resin,树脂
resource,资源
rest,休息
restaurant,餐厅
restful,安宁
resting cat,休息的猫
retaining wall,挡土墙
revolution,革命
rib vault,肋拱
ribadeo,里瓦德奥
ribbed shell,带棱纹的贝壳
ribbon bow,蝴蝶结
right-turn sign,右转标志
rigid inflatable boat,刚性充气艇
rind,树皮
ring,戒指
ring dish,戒指盘
ring light,环形灯
ripe plums,成熟李子
ripening fruit,成熟的水果
ripples,涟漪
rising sun,旭日
river,河流
river bank,河岸
river bridge,河桥
riverbank,河岸
riverside,河边
riverside promenade,河滨步道
rivets,铆钉
road,道路
road sign,路标
road trip,公路旅行
roadside,路边
roadworks,道路施工
roast poultry,烤禽肉
roasted coffee beans,烘焙咖啡豆
robe,长袍
roche,岩石
rock,岩石
rock arch,岩拱
rock formation,岩石地貌
rock garden,岩石花园
rock layers,岩层
rock ledge,岩架
rock pigeons,原鸽
rock strata,岩层
rock texture,岩石纹理
rocks,岩石
rockwork,假山
rocky,多岩石的
rocky coastline,多岩石海岸
rocky hillside,岩石山坡
rocky islet,岩石小岛
rocky islets,岩石小岛
rocky outcrop,岩石露头
rocky path,石径
rocky peaks,岩石山峰
rocky shore,多岩石海岸
roman numerals,罗马数字
romance,浪漫
romanesque,罗马式
romanesque nave,罗马式中殿
romanesque revival,罗马式复兴建筑
romantic,浪漫的
romantic garden,浪漫园林
roof,屋顶
roofing,屋顶
roofline,屋顶轮廓
rooftop,屋顶
rooftops,屋顶
root,根
roots,根
rope,绳索
rose,玫瑰
rose blossom,玫瑰花
rose bush,玫瑰丛
rose chafer,花金龟
rose gold rings,玫瑰金戒指
rose heart,玫瑰花心
rose of sharon,木槿
rose petals,玫瑰花瓣
rose window,玫瑰花窗
roses,玫瑰
round buds,圆形花苞
round window,圆窗
row houses,排屋
rowboat,划艇
rower,划船者
rowing boat,划艇
royal,皇家
rubble wall,碎石墙
ruby,红宝石
ruffled petals,褶皱花瓣
rug,地毯
rugged coastline,崎岖海岸
rugged terrain,崎岖地形
ruin,废墟
ruins,废墟
rummy,拉密牌
rummy tile,拉密牌
runners,跑步者
running,跑步
running cat,奔跑中的猫
rural,乡村
rural fence,乡村栅栏
rural galicia,加利西亚乡村
rural landscape,乡村风景
rural night,乡村夜景
rural road,乡间小路
rushing water,奔流的水
rust,铁锈
rustic,乡村风
rustic bridge,乡村风格小桥
rustic kitchen,乡村厨房
rustic table,乡村桌子
rusty gate,生锈的大门
rusty grille,生锈的铁栅
rusty metal,生锈金属
sac,包
sacred art,宗教艺术
sacred heart,圣心
sacred lotus,荷花
sad,悲伤
sadness,悲伤
safety vest,安全背心
sailboat,帆船
sailing,帆船航行
sailing ship,帆船
saint,圣徒
saint malo,圣马洛
saint michael,圣米迦勒
saint-maurice cathedral,圣莫里斯大教堂
saint-planchers,圣普朗谢
salamander,蝾螈
salt,盐
salvia microphylla,小叶鼠尾草
san malo,圣马洛
san sebastian,圣塞巴斯蒂安
sanctuary,圣所
sanctuary lamp,长明灯
sand,沙子
sandbanks,沙洲
sandstone buildings,砂岩建筑
sandwich,三明治
santa claus,圣诞老人
santiago de compostela,圣地亚哥-德孔波斯特拉
santiago de compostela cathedral,圣地亚哥-德孔波斯特拉大教堂
sapling,幼树
satellite dish,卫星天线
sauce,酱汁
saucer,茶碟
saucisson,香肠
sauerkraut,酸菜
savory,咸味
scaffolding,脚手架
scale model,比例模型
scales,鳞片
scallop,扇贝
scallop shell,扇贝壳
scarf,丝巾
scenic,风景如画
scenic trail,风景步道
scenic view,美景
schoolbus,校车
science,科学
sconces,壁灯
scrollwork,卷草纹饰
scrubland,灌木丛
scrunchie,发圈
sculpture,雕塑
sculpture art,雕塑艺术
sculpture detail,雕塑细节
sculpture group,雕塑群
sculptures,雕塑
sea,大海
sea cliff,海崖
sea cliffs,海崖
sea gorge,海边峡谷
sea on the horizon,远处海平线
sea spray,浪沫
seabirds,海鸟
seagrass,海草
seagull,海鸥
seascape,海景
seashell,贝壳
seashore,海边
seaside,海边
season,季节
seawall,海堤
seaweed,海藻
secluded,僻静
security camera,监控摄像头
sedimentary rock,沉积岩
selective focus,选择性对焦
selfie,自拍
separation,分离
sepia,棕褐色
sepia tone,棕褐色调
sequins,亮片
serene,宁静
serenity,宁静
serie,系列
serveur,服务员
several,几个
sevre niortaise,塞夫尔尼奥尔泰斯河
shade,阴影
shade of green,绿色调
shade tree,遮荫树
shaded,阴凉
shades,阴影
shadow,影子
shadows,影子
shallow depth of field,浅景深
shallow river,浅河
shallow water,浅水
sharp knife,锋利的刀
shed,棚屋
sheets,床单
shelf,架子
shimmering,闪烁
shimmering water,波光粼粼
ship,船
shooting star,流星
shop fronts,店面
shop window,橱窗
shoppers,购物者
shops,商店
shore,海岸
short hair,短发
shrub,灌木
shrubs,灌木
shutters,百叶窗
side dish,配菜
sidewalk,人行道
signpost,路标
silhouette,剪影
silk tree,合欢树
silver,银色
silver car,银色汽车
silver leaves,银色叶子
simple,简约
single,单个
single flower,单朵花
sitting,坐着
sitting cat,坐着的猫
sitting on a bench,坐在长椅上
sky,天空
sky background,天空背景
sky cloud,天空云彩
sky gap,天空缝隙
sky phenomenon,天空奇观
sky photography,天空摄影
sky replacement,换天素材
skyglow,天空光晕
skylight,天窗
skylights,天窗
skyline,天际线
skyscraper,摩天大楼
skywatching,观星
slabs,石板
slate roof,板岩屋顶
slate roofs,石板屋顶
sleep,睡眠
sleeping cat,熟睡的猫
sleeping dog,熟睡的狗
sleepy cat,困倦的猫
